IDNum,a,b,c,d,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10
1241226,Thriller,2014,NA,NA,Jon Polito,Steve Eastin,Ricky Schroder,Victor Campos,NA,NA,NA,NA,NA,NA
1241317,Adventure,Crime,Drama,2017,Shea Whigham,Lakeith Stanfield,Nat Wolff,NA,NA,NA,NA,NA,NA,NA
1243974,Comedy,Drama,Romance,2015,Bradley Cooper,Alec Baldwin,NA,NA,NA,NA,NA,NA,NA,NA
1247690,Drama,Romance,2014,NA,Toby Jones,Bradley Cooper,Rhys Ifans,NA,NA,NA,NA,NA,NA,NA
1249439,Thriller,2018,NA,NA,Brian Kimmet,Brian T. Finney,Aaron Perilo,NA,NA,NA,NA,NA,NA,NA
1253863,Action,Fantasy,2014,NA,Hans Matheson,Sullivan Stapleton,NA,NA,NA,NA,NA,NA,NA,NA
1254322,Biography,Drama,History,2015,Lucas Bryant,Michael Nyqvist,NA,NA,NA,NA,NA,NA,NA,NA
1255919,Adventure,Comedy,Mystery,2018,John C. Reilly,Will Ferrell,Ralph Fiennes,Noah Jupe,NA,NA,NA,NA,NA,NA
1259528,Action,Crime,Drama,2018,Gerard Butler,50 Cent,Pablo Schreiber,O'Shea Jackson Jr.,NA,NA,NA,NA,NA,NA
1262914,Drama,2017,NA,NA,Ruben Rabasa,Steven Bauer,NA,NA,NA,NA,NA,NA,NA,NA
1267297,Action,Adventure,Fantasy,2014,Ian McShane,John Hurt,Dwayne Johnson,Joseph Fiennes,NA,NA,NA,NA,NA,NA
1270087,Horror,Mystery,Thriller,2014,Chris Cusano,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270114,Action,Drama,War,2014,Timothy S. Shoemaker,Adam Gregory,Michael Todd Behrens,Christoph Malzl,NA,NA,NA,NA,NA,NA
1270797,Action,Horror,Sci-Fi,2018,Tom Hardy,Tom Holland,NA,NA,NA,NA,NA,NA,NA,NA
1272039,Comedy,2014,NA,NA,Fausto Mata,Miguel Alcantara,Phillip Rodrguez,Joendy Pena Brown,NA,NA,NA,NA,NA,NA
1273219,Comedy,2016,NA,NA,Dennis Hopper,Donnell Rawlings,Chris Kattan,NA,NA,NA,NA,NA,NA,NA
1273221,Crime,Mystery,Thriller,2018,Jason Isaacs,NA,NA,NA,NA,NA,NA,NA,NA,NA
1274586,Drama,Thriller,2014,NA,Alexander Karim,Anton Yelchin,Nicolas Cage,NA,NA,NA,NA,NA,NA,NA
1276953,Comedy,Crime,Drama,2015,Aaron Kissinger,Kim Woods,Mark Donnell,Ian Reed Kesler,NA,NA,NA,NA,NA,NA
1284451,Action,Comedy,2017,NA,Jun Ishikawa,Katsuo Kawai,Hideo Funahashi,Yji Shimada,Tadashi Morita,Ken Naito,NA,NA,NA,NA
1285009,Horror,2018,NA,NA,Martin Henderson,Lewis Pullman,NA,NA,NA,NA,NA,NA,NA,NA
1285305,Animation,2018,NA,NA,Peter Stormare,Roger Moore,James Arnold Taylor,NA,NA,NA,NA,NA,NA,NA
1289403,Drama,History,Romance,2018,Michiel Huisman,Matthew Goode,NA,NA,NA,NA,NA,NA,NA,NA
1290138,Crime,Drama,Mystery,2016,Michael Shannon,Justin Long,NA,NA,NA,NA,NA,NA,NA,NA
1290393,Animation,2014,NA,NA,Jeffrey Tambor,Brad Garrett,NA,NA,NA,NA,NA,NA,NA,NA
1290475,Crime,Drama,Thriller,2014,John Azpilicueta,Bless May,Jacob Martinez,Pablo Santiago,NA,NA,NA,NA,NA,NA
1291150,Action,Adventure,Comedy,2014,Noel Fisher,Will Arnett,William Fichtner,NA,NA,NA,NA,NA,NA,NA
1291566,Drama,Mystery,2017,NA,Logan Lerman,NA,NA,NA,NA,NA,NA,NA,NA,NA
1291570,Crime,Drama,Mystery,2015,Colin Farrell,Jeffrey Dean Morgan,Anthony Hopkins,NA,NA,NA,NA,NA,NA,NA
1293805,Action,Drama,Thriller,2015,Mesindo Pompa,James Duval,Luis Villafranca,Austin Anderson,NA,NA,NA,NA,NA,NA
1293847,Action,Adventure,Thriller,2017,Donnie Yen,Kris Wu,Vin Diesel,NA,NA,NA,NA,NA,NA,NA
1294970,Comedy,Drama,2014,NA,Robin Williams,Peter Dinklage,NA,NA,NA,NA,NA,NA,NA,NA
1298644,Comedy,2018,NA,NA,Alex Sharp,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301304,Horror,Thriller,2014,NA,Joe Estevez,Ken Arnold,NA,NA,NA,NA,NA,NA,NA,NA
1303235,Comedy,Drama,2014,NA,Sean Gullette,Eric Sweeney,NA,NA,NA,NA,NA,NA,NA,NA
1303678,Drama,Sport,2018,NA,Christopher Sean,Scott Roughgarden,Nico Lombardo,John Gearries,Roger Lim,Jon Lucero,NA,NA,NA,NA
1303871,Drama,Thriller,2016,NA,Michael Desante,Robert Miano,NA,NA,NA,NA,NA,NA,NA,NA
1305618,Drama,2014,NA,NA,Frankie Faison,Ray Wise,Nick Stahl,NA,NA,NA,NA,NA,NA,NA
1308100,Action,Animation,Sci-Fi,2018,Robert Broski,Mike Russo,Stephen Joshua Thompson,Montague Jacques Fromage,NA,NA,NA,NA,NA,NA
1308728,Comedy,Crime,Mystery,2018,Joel McHale,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309187,Comedy,Sci-Fi,2014,NA,Dan Billet,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309366,Comedy,2014,NA,NA,Ed Quinn,Edward Asner,NA,NA,NA,NA,NA,NA,NA,NA
1309379,Comedy,Fantasy,Romance,2015,Stacy Keach,Sean Kleier,NA,NA,NA,NA,NA,NA,NA,NA
1312233,Crime,Horror,Mystery,2017,Ryan Matthew Jones,Joseph Eid,NA,NA,NA,NA,NA,NA,NA,NA
1312235,Comedy,Drama,Musical,2015,John Patrick Jordan,Michael Copon,NA,NA,NA,NA,NA,NA,NA,NA
1316541,Adventure,Drama,2016,NA,Joshua Osei,Reece Noi,David Leon,NA,NA,NA,NA,NA,NA,NA
1318517,Adventure,Sci-Fi,2018,NA,Adam Driver,Stellan Skarsgrd,Jonathan Pryce,NA,NA,NA,NA,NA,NA,NA
1319706,Comedy,Drama,Family,2016,Nils Hognestad,Cameron Anderson,Brian Jackson,NA,NA,NA,NA,NA,NA,NA
1319734,Adventure,Drama,Romance,2014,Joe Estevez,Michael Welch,Matt Bushell,NA,NA,NA,NA,NA,NA,NA
1320115,Action,Drama,2014,NA,Nikola Rakocevic,Adrian Eli,Boris Isakovic,NA,NA,NA,NA,NA,NA,NA
1321390,Action,Crime,Drama,2015,Ryan Dunlap,Doug Jones,Tim Russ,NA,NA,NA,NA,NA,NA,NA
1322393,Drama,2015,NA,NA,Kevin Downes,David A.R. White,Stephen Baldwin,NA,NA,NA,NA,NA,NA,NA
1326190,Sci-Fi,2015,NA,NA,Jai Johnston,David John Burke,Wallace Dorian,Chris Harper,Travon L. Collins,J.P. Edwards,NA,NA,NA,NA
1327601,Drama,Horror,Mystery,2014,James Patrick Stuart,Julian Morris,NA,NA,NA,NA,NA,NA,NA,NA
1329350,Action,Fantasy,Sci-Fi,2018,Mark Steven Grove,Trygve Lode,NA,NA,NA,NA,NA,NA,NA,NA
1330018,Drama,2016,NA,NA,Jason Sudeikis,NA,NA,NA,NA,NA,NA,NA,NA,NA
1331087,Horror,Mystery,Thriller,2016,Patrick Joseph Connolly,James Gaudioso,NA,NA,NA,NA,NA,NA,NA,NA
1334558,Horror,2014,NA,NA,Matthew Currie Holmes,NA,NA,NA,NA,NA,NA,NA,NA,NA
1337180,Adventure,Mystery,Romance,2018,Mario M. Milano,Todd Lawrence,Ricardo Santos Asaza,Claudio Ayres Da Motta,NA,NA,NA,NA,NA,NA
1338635,Horror,2017,NA,NA,Travis Boswell,Ben Gordon,NA,NA,NA,NA,NA,NA,NA,NA
1339200,Drama,2015,NA,NA,John Bluethner,Tom Keenan,NA,NA,NA,NA,NA,NA,NA,NA
1339444,Comedy,Family,2016,NA,Evan T Hall,Michael Ketzner,NA,NA,NA,NA,NA,NA,NA,NA
1339660,Biography,Documentary,War,2016,Tom Hanks,NA,NA,NA,NA,NA,NA,NA,NA,NA
1340138,Action,Adventure,Sci-Fi,2015,Arnold Schwarzenegger,Jai Courtney,Jason Clarke,NA,NA,NA,NA,NA,NA,NA
1340697,Drama,2016,NA,NA,Matt Ritchey,Michael Onofri,NA,NA,NA,NA,NA,NA,NA,NA
1341704,Documentary,2015,NA,NA,2004 Olympic Water Polo Team,2008 Olympic Water Polo Team,1996 Olympic Water Polo Team,NA,NA,NA,NA,NA,NA,NA
1341720,Drama,2014,NA,NA,James Rodriguez,Aaron Robinson,Steve Parlavecchio,NA,NA,NA,NA,NA,NA,NA
1344612,Comedy,Drama,Mystery,2016,Robert C. Jolley Jr.,Mike Stanley,NA,NA,NA,NA,NA,NA,NA,NA
1346261,Comedy,Musical,Romance,2018,Diganth,Bharath Kumar,NA,NA,NA,NA,NA,NA,NA,NA
1349645,Documentary,2016,NA,NA,Larry Hagman,Christina de Limur,NA,NA,NA,NA,NA,NA,NA,NA
1352393,Biography,Drama,2016,NA,Erroll Shand,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352771,Comedy,Drama,Romance,2017,Richard Riehle,Shawn Pyfrom,Kevin G. Schmidt,NA,NA,NA,NA,NA,NA,NA
1354077,Sci-Fi,2014,NA,NA,Carlos Etzio Roman,Brandon DeGroat,Kevin Troy,NA,NA,NA,NA,NA,NA,NA
1355630,Drama,Fantasy,Music,2014,Jamie Blackley,Joshua Leonard,NA,NA,NA,NA,NA,NA,NA,NA
1355631,Biography,Crime,Drama,2016,John Leguizamo,Bryan Cranston,NA,NA,NA,NA,NA,NA,NA,NA
1355644,Drama,Sci-Fi,Thriller,2016,Michael Sheen,Chris Pratt,Laurence Fishburne,NA,NA,NA,NA,NA,NA,NA
1355683,Biography,Crime,Drama,2015,Benedict Cumberbatch,Joel Edgerton,Johnny Depp,NA,NA,NA,NA,NA,NA,NA
1361318,Action,Crime,Thriller,2014,Omar Sy,Tom Wilkinson,James Franco,NA,NA,NA,NA,NA,NA,NA
1363134,Action,Thriller,2015,NA,Sebastian Siegel,Lochlyn Munro,Igor Jijikine,William McNamara,NA,NA,NA,NA,NA,NA
1365050,Drama,War,2015,NA,Emmanuel Affadzi,Abraham Attah,Andrew Adote,Ricky Adelayitor,NA,NA,NA,NA,NA,NA
1365464,Crime,Drama,2018,NA,Miguel Molina,Roger Pera,Jos Mara Blanco,Manuel Galiana,NA,NA,NA,NA,NA,NA
1365519,Action,Adventure,2018,NA,Walton Goggins,NA,NA,NA,NA,NA,NA,NA,NA,NA
1366338,Adventure,Crime,Drama,2016,Theo Rossi,Gabriel Chavarria,Tony Revolori,Demin Bichir,NA,NA,NA,NA,NA,NA
1369571,Horror,Thriller,2018,NA,Eoin Macken,Bill Moseley,William Forsythe,Faran Tahir,NA,NA,NA,NA,NA,NA
1369667,Drama,2015,NA,NA,Jesper Christensen,Daniel Brhl,NA,NA,NA,NA,NA,NA,NA,NA
1369697,Drama,Mystery,Romance,2014,C. Thomas Howell,Brian Krause,NA,NA,NA,NA,NA,NA,NA,NA
1371150,Comedy,Drama,2014,NA,Adam Driver,Jason Bateman,NA,NA,NA,NA,NA,NA,NA,NA
1373403,Horror,Thriller,2014,NA,Adam Brooks,Benjamin Mouton,Amin Joseph,NA,NA,NA,NA,NA,NA,NA
1374989,Action,Horror,Romance,2016,Jack Huston,Sam Riley,NA,NA,NA,NA,NA,NA,NA,NA
1379178,Crime,Drama,Horror,2017,Kyle Weir,Peter Holden,Danny Vinson,NA,NA,NA,NA,NA,NA,NA
1379712,Action,Crime,2015,NA,Mike Earp,Danny Trejo,Ed O'Ross,NA,NA,NA,NA,NA,NA,NA
1380151,Drama,Horror,Mystery,2017,Kenneth Mitchell,Gil Bellows,Don McKellar,NA,NA,NA,NA,NA,NA,NA
1381714,Comedy,2015,NA,NA,Raj Sharma,J. Mandyam,NA,NA,NA,NA,NA,NA,NA,NA
1382237,Documentary,2014,NA,NA,Christoph Zerm,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382727,Adventure,Horror,Sci-Fi,2015,Philip Hurd Wood,Albert Prat,Andrs Batista,NA,NA,NA,NA,NA,NA,NA
1384925,Drama,Western,2014,NA,Gael Garca Bernal,Chico Daz,Claudio Tolcachir,Jorge Sesn,Ivn Steinhardt,NA,NA,NA,NA,NA
1385543,Horror,Thriller,2014,NA,Anthony Rey,Zack Ward,Luke Kleintank,NA,NA,NA,NA,NA,NA,NA
1386691,Crime,Drama,Mystery,2017,John Michael Higgins,Benjamin Walker,Rainn Wilson,NA,NA,NA,NA,NA,NA,NA
1386697,Action,Adventure,Fantasy,2016,Will Smith,Jared Leto,NA,NA,NA,NA,NA,NA,NA,NA
1389072,Comedy,Drama,Sci-Fi,2017,Christoph Waltz,Matt Damon,NA,NA,NA,NA,NA,NA,NA,NA
1389098,Biography,Drama,2018,NA,Matt Smith,Mark Moses,John Benjamin Hickey,NA,NA,NA,NA,NA,NA,NA
1389139,Crime,Drama,Horror,2016,Morris Chestnut,Romany Malco,Michael Kenneth Williams,NA,NA,NA,NA,NA,NA,NA
1390411,Action,Adventure,Biography,2015,Ben Whishaw,Brendan Gleeson,Chris Hemsworth,Cillian Murphy,NA,NA,NA,NA,NA,NA
1392190,Action,Adventure,Sci-Fi,2015,Nicholas Hoult,Tom Hardy,NA,NA,NA,NA,NA,NA,NA,NA
1396484,Drama,Horror,Thriller,2017,Bill Skarsgrd,Jaeden Lieberher,Finn Wolfhard,NA,NA,NA,NA,NA,NA,NA
1396523,Action,Crime,Drama,2014,Kevin Wu,Harry Shum Jr.,Justin Chon,Ray Liotta,NA,NA,NA,NA,NA,NA
1398426,Biography,Drama,History,2015,Neil Brown Jr.,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,NA,NA,NA,NA,NA,NA
1401621,Drama,Fantasy,2016,NA,Andrew Bowen,Christopher Gorham,Julian Feder,NA,NA,NA,NA,NA,NA,NA
1402593,Drama,2016,NA,NA,Jeremy Allen White,Michael Pitt,NA,NA,NA,NA,NA,NA,NA,NA
1403241,Action,Fantasy,Horror,2014,John Pyper Ferguson,Stephen McHattie,Lucas Till,NA,NA,NA,NA,NA,NA,NA
1403862,Action,Adventure,Fantasy,2014,Patrick Stewart,Isaac C. Singleton Jr.,NA,NA,NA,NA,NA,NA,NA,NA
1405413,Drama,Horror,Sci-Fi,2014,Jeremiah Sayys,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408253,Action,Comedy,Crime,2014,John Leguizamo,Kevin Hart,Ice Cube,NA,NA,NA,NA,NA,NA,NA
1411956,Drama,2016,NA,NA,David Arquette,NA,NA,NA,NA,NA,NA,NA,NA,NA
1412528,Comedy,Drama,Romance,2017,Stephen Merchant,Craig Robinson,NA,NA,NA,NA,NA,NA,NA,NA
1413492,Action,Drama,History,2018,Navid Negahban,Michael Shannon,Chris Hemsworth,Michael Pea,NA,NA,NA,NA,NA,NA
1415282,Drama,Thriller,2015,NA,Luke Sabis,Charles Gorgano,NA,NA,NA,NA,NA,NA,NA,NA
1418377,Action,Fantasy,Horror,2014,Bill Nighy,Aaron Eckhart,NA,NA,NA,NA,NA,NA,NA,NA
1418754,Crime,Thriller,2014,NA,Jamie Bamber,Gary Abrahams,Sam Parsonson,Lachy Hulme,NA,NA,NA,NA,NA,NA
1421361,Documentary,2015,NA,NA,Dhafir Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA
1430612,Action,Crime,Sci-Fi,2014,Paul Walker,David Belle,RZA,Gochy Boy,NA,NA,NA,NA,NA,NA
1431045,Action,Adventure,Comedy,2016,T.J. Miller,Ryan Reynolds,Ed Skrein,NA,NA,NA,NA,NA,NA,NA
1432114,Drama,2018,NA,NA,Alexander Emmert,Kirkryan McFarland,NA,NA,NA,NA,NA,NA,NA,NA
1434446,Drama,Fantasy,Romance,2014,Andrew Church,Larry Callaghan,NA,NA,NA,NA,NA,NA,NA,NA
1437370,Comedy,2015,NA,NA,Derek North,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440729,Drama,Fantasy,War,2015,Ben Soriano,Brandon Scott,Brett Koontz,Vincent Leon,Rigo Chacon Jr.,E.C. Burke,David Guilmette,NA,NA,NA
1441931,Drama,2014,NA,NA,Hugh Scully,Jay Potter,Braven R. Corby,NA,NA,NA,NA,NA,NA,NA
1441953,Biography,Drama,History,2014,Dominic West,Kit Harington,Taron Egerton,NA,NA,NA,NA,NA,NA,NA
1444257,Drama,Thriller,2014,NA,Harpert Michielsen,Juda Goslinga,NA,NA,NA,NA,NA,NA,NA,NA
1445208,Drama,2014,NA,NA,Max von Sydow,Rutger Hauer,NA,NA,NA,NA,NA,NA,NA,NA
1446113,Comedy,Romance,2016,NA,Adam Bronstein,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446692,Comedy,Horror,2014,NA,Billy Garberina,Jeremy Owen,Devin O'Leary,NA,NA,NA,NA,NA,NA,NA
1449392,Crime,Drama,History,2018,Thurane AungKhin,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453402,Biography,Comedy,Documentary,2014,Paul Reiser,Jay Leno,Billy Crystal,Chris Rock,NA,NA,NA,NA,NA,NA
1454700,Drama,History,Thriller,2017,Alan Collett,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456606,Comedy,Drama,Fantasy,2014,Rodrigo Santoro,Basil Hoffman,NA,NA,NA,NA,NA,NA,NA,NA
1457764,Crime,Drama,2016,NA,Ryan Donowho,Brett Donowho,NA,NA,NA,NA,NA,NA,NA,NA
1458168,Adventure,Romance,War,2018,Dario Deak,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458169,Action,Crime,Drama,2017,Sage Correa,Lew Temple,NA,NA,NA,NA,NA,NA,NA,NA
1460646,Crime,Drama,Mystery,2015,Vincent Pastore,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460798,Animation,Family,2014,NA,Richard Gere,Chazz Palminteri,Luis Guzmn,NA,NA,NA,NA,NA,NA,NA
1461391,Documentary,Sport,2014,NA,Chuck Liddell,Cesar Gracie,NA,NA,NA,NA,NA,NA,NA,NA
1461395,Horror,2016,NA,NA,Timothy Mandala,NA,NA,NA,NA,NA,NA,NA,NA,NA
1464763,Mystery,Sci-Fi,Thriller,2018,Alexander Skarsgrd,Paul Rudd,Justin Theroux,NA,NA,NA,NA,NA,NA,NA
1466880,Fantasy,2016,NA,NA,Fab Filippo,Mitchell Nye,NA,NA,NA,NA,NA,NA,NA,NA
1468325,Drama,2014,NA,NA,Rainer Guldener,Jens Kauffmann,Maurice Engst,NA,NA,NA,NA,NA,NA,NA
1468846,Comedy,2016,NA,NA,Miles Teller,Nicholas Braun,Bryan Cranston,NA,NA,NA,NA,NA,NA,NA
1468883,Horror,2017,NA,NA,Dechen Thurman,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469304,Action,Comedy,Crime,2017,Zac Efron,Dwayne Johnson,NA,NA,NA,NA,NA,NA,NA,NA
1472460,Drama,2016,NA,NA,Simon Helberg,Alfred Molina,NA,NA,NA,NA,NA,NA,NA,NA
1472584,Action,Adventure,Family,2016,Andy Garcia,Ben Winchell,Josh Brener,NA,NA,NA,NA,NA,NA,NA
1473832,Comedy,Romance,2016,NA,Jim Broadbent,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474274,Sci-Fi,Thriller,2018,NA,Holt Boggs,George Katt,Mark Borkowski,NA,NA,NA,NA,NA,NA,NA
1476425,Drama,2016,NA,NA,George Katt,Waylon Payne,Peter Greene,NA,NA,NA,NA,NA,NA,NA
1477178,Crime,Drama,Thriller,2016,Blake Berris,Carmen Argenziano,NA,NA,NA,NA,NA,NA,NA,NA
1477834,Action,Adventure,Sci-Fi,2018,Willem Dafoe,Jason Momoa,NA,NA,NA,NA,NA,NA,NA,NA
1478354,Drama,2014,NA,NA,Guy Adkins,Don Scime,NA,NA,NA,NA,NA,NA,NA,NA
1478849,Thriller,2014,NA,NA,Logan Brown,Max Ingrao,Elroy Jelinek,NA,NA,NA,NA,NA,NA,NA
1479690,Animation,2016,NA,NA,Kunal Kapoor,Jimmy Shergill,Gulshan Grover,NA,NA,NA,NA,NA,NA,NA
1480285,Horror,Mystery,Thriller,2016,Joe Anderson,Dayton Callie,NA,NA,NA,NA,NA,NA,NA,NA
1482837,Crime,Drama,2015,NA,Michael Skotnik,Gunnar Fritz Stansson,L.W. Hodge,NA,NA,NA,NA,NA,NA,NA
1485796,Biography,Drama,Musical,2017,Zac Efron,Hugh Jackman,NA,NA,NA,NA,NA,NA,NA,NA
1486189,Comedy,Music,2016,NA,Vince Corazza,Clark Koelsch,Darren Dowler,Chip Bent,NA,NA,NA,NA,NA,NA
1486556,Drama,2017,NA,NA,Philip Barantini,James Cockerill,Ousman Ali,Paul Coppack,NA,NA,NA,NA,NA,NA
1489889,Action,Comedy,Crime,2016,Dwayne Johnson,Kevin Hart,NA,NA,NA,NA,NA,NA,NA,NA
1490017,Action,Adventure,Animation,2014,Chris Pratt,Will Ferrell,Will Arnett,NA,NA,NA,NA,NA,NA,NA
1490785,Biography,Drama,Music,2015,Tom Hiddleston,Bradley Whitford,NA,NA,NA,NA,NA,NA,NA,NA
1491014,Crime,Documentary,History,2014,Huey Long,NA,NA,NA,NA,NA,NA,NA,NA,NA
1492705,Comedy,Drama,2017,NA,Tony Goldwyn,NA,NA,NA,NA,NA,NA,NA,NA,NA
1494817,Action,2015,NA,NA,Jack Huang,NA,NA,NA,NA,NA,NA,NA,NA,NA
1494819,Comedy,Drama,2014,NA,Ryan G. Metzger,Cuyle Carvin,James Liebman,Hakim McMillan,NA,NA,NA,NA,NA,NA
1496035,Drama,Horror,Thriller,2014,Michael Kenneth Fahr,Cuyle Carvin,NA,NA,NA,NA,NA,NA,NA,NA
1496040,Comedy,Drama,2017,NA,Christian Keyes,Lew Temple,NA,NA,NA,NA,NA,NA,NA,NA
1496831,Crime,Drama,2014,NA,Denny Dale Bess,Mark Borkowski,Phil Hall,NA,NA,NA,NA,NA,NA,NA
1498565,Action,Adventure,Sci-Fi,2014,Aaron Krygier,Bryan Patrick Stoyle,NA,NA,NA,NA,NA,NA,NA,NA
1499683,Action,Adventure,History,2018,Dario Deak,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502407,Horror,2018,NA,NA,Miles Robbins,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502712,Action,Adventure,Sci-Fi,2015,Michael B. Jordan,Jamie Bell,Miles Teller,NA,NA,NA,NA,NA,NA,NA
1503790,Action,Drama,Sport,2016,Charlton Barton,Salvador Benavides,David Bickford,NA,NA,NA,NA,NA,NA,NA
1505839,Horror,2017,NA,NA,Taner Rumeli,Tolga Karel,Engin Altan Dzyatan,NA,NA,NA,NA,NA,NA,NA
1507002,Drama,2018,NA,NA,Denis O'Hare,Vincent Pastore,Joe Manganiello,NA,NA,NA,NA,NA,NA,NA
1507364,Action,Adventure,History,2018,Charles Thomas Doyle,Timothy Englert,Martin Kove,Andy Hankins,Trygve Lode,Macleish Day,NA,NA,NA,NA
1507571,Drama,2017,NA,NA,Cody Fern,Justin Kirk,NA,NA,NA,NA,NA,NA,NA,NA
1509175,Crime,Horror,Mystery,2016,Lloyd Kaufman,James Duval,NA,NA,NA,NA,NA,NA,NA,NA
1512098,Drama,2015,NA,NA,Ronald Hansch,Florian Kleine,Christian Tompos,NA,NA,NA,NA,NA,NA,NA
1512222,Action,Animation,Horror,2015,Gus Malliarodakis,Bill Moseley,NA,NA,NA,NA,NA,NA,NA,NA
1513927,Action,Horror,Thriller,2014,Sticky Fingaz,Obba Babatund,Corey Haim,NA,NA,NA,NA,NA,NA,NA
1514411,Horror,Thriller,2017,NA,Lewis Clements,Sebastian Knapp,Alex Humes,NA,NA,NA,NA,NA,NA,NA
1517228,Horror,2015,NA,NA,Bill Ward,NA,NA,NA,NA,NA,NA,NA,NA,NA
1517451,Drama,Music,Musical,2018,Bradley Cooper,Dave Chappelle,Sam Elliott,NA,NA,NA,NA,NA,NA,NA
1517471,Comedy,Drama,2015,NA,Ian Hart,Jerome Holder,Jonathan Pryce,Phil Davis,NA,NA,NA,NA,NA,NA
1519461,Horror,Sci-Fi,Thriller,2015,Ben Rovner,Darrin Bragg,Reid Warner,NA,NA,NA,NA,NA,NA,NA
1520421,Comedy,2016,NA,NA,Fontel Flowers,Chris Iverson,Leon Mobley,NA,NA,NA,NA,NA,NA,NA
1523575,Drama,Horror,Thriller,2016,Richard Miraan,Cris Cunningham,T.J. Maxwell,NA,NA,NA,NA,NA,NA,NA
1524575,Horror,Thriller,2015,NA,Michael Pea,Dougray Scott,Djimon Hounsou,NA,NA,NA,NA,NA,NA,NA
1524930,Adventure,Comedy,2015,NA,Steele Stebbins,Ed Helms,Skyler Gisondo,NA,NA,NA,NA,NA,NA,NA
1525388,Crime,Horror,Mystery,2016,Ljubodrag Zunic,Igor Minic,NA,NA,NA,NA,NA,NA,NA,NA
1527827,Drama,2014,NA,NA,Justin Miles,Burgess Jenkins,Gregory Alan Williams,Mark Joy,NA,NA,NA,NA,NA,NA
1527829,Comedy,2015,NA,NA,Steve Garry,Mike Mitchell,Stuart Biglan,Paul Monaghan,NA,NA,NA,NA,NA,NA
1527837,Comedy,Drama,Sport,2015,Steven Bauer,Peter Greene,NA,NA,NA,NA,NA,NA,NA,NA
1528100,Action,Adventure,Drama,2014,Ben Kingsley,Christian Bale,Joel Edgerton,NA,NA,NA,NA,NA,NA,NA
